epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,219.41,0.55068,0.61554,0.00224,0.8777,0.89878,0.9547,0.83786,0.46845,0.35389,0.00318,0.00035382,0.00035382,0.00035382
78,221.975,0.5287,0.63157,0.00242,0.87487,0.90098,0.95561,0.84086,0.46968,0.35242,0.00314,0.000339673,0.000339673,0.000339673
79,224.517,0.54,0.61635,0.00221,0.8588,0.90409,0.954,0.83592,0.47745,0.3557,0.00356,0.000325526,0.000325526,0.000325526
80,227.056,0.53624,0.61868,0.00231,0.86163,0.90957,0.95281,0.84171,0.46948,0.35511,0.00345,0.000311379,0.000311379,0.000311379
81,229.572,0.55474,0.63027,0.00259,0.86676,0.90042,0.95286,0.83662,0.46719,0.35766,0.00331,0.000297232,0.000297232,0.000297232
82,232.145,0.5658,0.64818,0.00277,0.89032,0.90266,0.95507,0.83844,0.45917,0.34978,0.00314,0.000283085,0.000283085,0.000283085
83,234.684,0.53975,0.59242,0.00263,0.89447,0.90394,0.95799,0.84855,0.44381,0.3425,0.00293,0.000268938,0.000268938,0.000268938
84,237.268,0.53786,0.61252,0.0023,0.90185,0.90152,0.96136,0.84932,0.45363,0.34207,0.003,0.000254791,0.000254791,0.000254791
85,239.761,0.53953,0.64812,0.00262,0.90269,0.90378,0.96337,0.84848,0.4656,0.33984,0.00317,0.000240644,0.000240644,0.000240644
86,242.307,0.55153,0.63041,0.00239,0.9077,0.89856,0.96578,0.85222,0.4652,0.33757,0.00319,0.000226497,0.000226497,0.000226497
87,244.888,0.51504,0.6176,0.00233,0.8945,0.91088,0.96687,0.85308,0.45494,0.33492,0.00301,0.000212349,0.000212349,0.000212349
88,247.438,0.53096,0.57953,0.00228,0.8875,0.93368,0.96828,0.85301,0.45088,0.33308,0.00298,0.000198202,0.000198202,0.000198202
89,249.936,0.5415,0.61362,0.00238,0.89101,0.93483,0.96902,0.85535,0.44498,0.33178,0.00293,0.000184055,0.000184055,0.000184055
90,252.483,0.51595,0.62507,0.00224,0.88613,0.93816,0.96956,0.8604,0.43714,0.32856,0.00287,0.000169908,0.000169908,0.000169908
91,263.319,0.54221,0.75842,0.00318,0.89285,0.91601,0.96823,0.85675,0.44026,0.32804,0.00294,0.000155761,0.000155761,0.000155761
92,265.813,0.54224,0.75242,0.00287,0.90713,0.90386,0.96545,0.85407,0.44605,0.3268,0.00285,0.000141614,0.000141614,0.000141614
93,268.279,0.51967,0.68158,0.00266,0.90442,0.90146,0.96394,0.85239,0.45072,0.33032,0.00293,0.000127467,0.000127467,0.000127467
94,270.922,0.50493,0.65248,0.00272,0.90056,0.90805,0.96139,0.84337,0.46855,0.34375,0.00327,0.00011332,0.00011332,0.00011332
95,273.549,0.52941,0.68209,0.00256,0.88057,0.90993,0.95895,0.83937,0.47957,0.34762,0.00344,9.91726e-05,9.91726e-05,9.91726e-05
96,276.082,0.52193,0.66716,0.00265,0.87939,0.90628,0.95714,0.84188,0.47484,0.34914,0.0033,8.50255e-05,8.50255e-05,8.50255e-05
97,278.494,0.49162,0.64498,0.00265,0.87786,0.90334,0.95647,0.84128,0.4686,0.34873,0.00317,7.08784e-05,7.08784e-05,7.08784e-05
98,280.998,0.50861,0.65481,0.00239,0.87675,0.9053,0.95538,0.84277,0.46192,0.3477,0.00299,5.67313e-05,5.67313e-05,5.67313e-05
99,283.519,0.49101,0.64497,0.00246,0.88429,0.90256,0.95445,0.84106,0.46196,0.3466,0.00292,4.25842e-05,4.25842e-05,4.25842e-05
100,286.021,0.49109,0.65388,0.00228,0.88301,0.89977,0.9542,0.83895,0.46277,0.34813,0.0029,2.84371e-05,2.84371e-05,2.84371e-05
